date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:25	92299/92299	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202022%2015:22:19%20GMT	https://collabstr.com/	C:/My%20Web%20Sites/WEB%20DEVELOPMENT/collabstr.com/index.html	(from )
20:52:25	116/116	---MCZ	200	added ('OK')	text/plain	date:Fri,%2022%20Jul%202022%2015:22:20%20GMT	https://collabstr.com/robots.txt		(from )
20:52:26	100025/100025	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2022%20Jul%202022%2015:22:20%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/WEB%20DEVELOPMENT/connect.facebook.net/en_US/fbevents.js	(from https://collabstr.com/)
20:52:27	38765/38765	---M-Z	200	added ('OK')	application/javascript	etag:%220c8eafcad81d81:0%22	http://bat.bing.com/bat.js	C:/My%20Web%20Sites/WEB%20DEVELOPMENT/bat.bing.com/bat.js	(from https://collabstr.com/)
20:52:28	1390/1390	---M--	200	added ('OK')	image/png	etag:%229639019df1f3ecc2c4c4a0a765dc406c%22	https://d5ik1gor6xydq.cloudfront.net/websiteImages/favicon.png	C:/My%20Web%20Sites/WEB%20DEVELOPMENT/d5ik1gor6xydq.cloudfront.net/websiteImages/favicon.png	(from https://collabstr.com/)
20:52:29	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/WEB%20DEVELOPMENT/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://collabstr.com/)
20:52:29	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/WEB%20DEVELOPMENT/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://collabstr.com/)
20:52:30	10327/10327	---MCZ	200	added ('OK')	text/css	etag:W/%22629ed6e4-2857%22	https://collabstr.com/static/igmarketplace/home/home.css?v=3.29	C:/My%20Web%20Sites/WEB%20DEVELOPMENT/collabstr.com/static/igmarketplace/home/home282c.css	(from https://collabstr.com/)
20:52:30	1750/1750	---MCZ	200	added ('OK')	text/css	etag:W/%226281c097-6d6%22	https://collabstr.com/static/igmarketplace/listing.css?v=3.29	C:/My%20Web%20Sites/WEB%20DEVELOPMENT/collabstr.com/static/igmarketplace/listing282c.css	(from https://collabstr.com/)
20:52:31	3879/3879	---MCZ	200	added ('OK')	text/css	etag:W/%2262b07e81-f27%22	https://collabstr.com/static/igmarketplace/components/base.css?v=3.29	C:/My%20Web%20Sites/WEB%20DEVELOPMENT/collabstr.com/static/igmarketplace/components/base282c.css	(from https://collabstr.com/)
